YEAR,PUMFID,PERSONID,FWEIGHT,PROV,USZGAP,MBMREGP,AGEGP,SEX,MARSTP,CMPHI,HLEV2G,STUDTFP,FLLPRTP,FWORKED,SCSUM,ALFST,WKSEM,WKSUEM,WKSNLF,USHRWK,ALHRWK,FPDWK,FSEMP,IMMST,YRIMMG,ALIMO,ALIP,ATINC,BURSAR,CAPGN,CCAR,CHBEN,CHFED,CHPRV,COVTOT,CPQPP,CQPC,CWB,EARNG,EIBEN,EICON,FDITX,FRTXCR,GI,GSTXC,GTR,INCTX,INVA,MAJRI,MTINC,OAS,OASGI,OGNIE,OGTRAN,OTHINC,OTTXM,PEN,PENGIV,PENREC,PRPEN,PRSUPP,PRTXCR,PVITX,RPPC,RSPWI,SAPIS,SEMP,TTINC,UDPD,WGSAL,WKRCP,EFID,EFSIZE,EFTYP,EFMJIE,EFMJIEH,EFRMJIG,EFAGOFMP,EFAGYFMP,EFMJSI,EFALIMO,EFALIP,EFATINC,EFBURSAR,EFCAPGN,EFCCAR,EFCHBEN,EFCHFED,EFCHPRV,EFCOVTOT,EFCPQPP,EFCQPC,EFCWB,EFEARNG,EFEIBEN,EFEICON,EFFDITX,EFFRTXCR,EFGI,EFGSTXC,EFGTR,EFINCTX,EFINVA,EFMBIN18,EFMTINC,EFOAS,EFOASGI,EFOGNIE,EFOGTRAN,EFOTHINC,EFOTTXM,EFPEN,EFPENGIV,EFPENREC,EFPRPEN,EFPRSUPP,EFPRTXCR,EFPVITX,EFRPPC,EFRSPWI,EFSAPIS,EFSEMP,EFTTINC,EFUDPD,EFWGSAL,EFWKRCP,CFID,CFSIZE,CFCOMP,CFMJIE,CFMJIEH,CFRMJIG,CFAGOFMP,CFAGYFMP,CFMJSI,CFALIMO,CFALIP,CFATINC,CFBURSAR,CFCAPGN,CFCCAR,CFCHBEN,CFCHFED,CFCHPRV,CFCOVTOT,CFCPQPP,CFCQPC,CFCWB,CFEARNG,CFEIBEN,CFEICON,CFFDITX,CFFRTXCR,CFGI,CFGSTXC,CFGTR,CFINCTX,CFINVA,CFMTINC,CFOAS,CFOASGI,CFOGNIE,CFOGTRAN,CFOTHINC,CFOTTXM,CFPEN,CFPENGIV,CFPENREC,CFPRPEN,CFPRSUPP,CFPRTXCR,CFPVITX,CFRPPC,CFRSPWI,CFSAPIS,CFSEMP,CFTTINC,CFUDPD,CFWGSAL,CFWKRCP,HHSIZE,HHCOMP,HHMJIE,LICODA,LICOFA,LICODB,LICOFB,LIMSDA,LIMSFA,MBSCD18,MBSCF18,DWLTYP,DWTENR,REPA,SUIT,MORTG,MORTGM,CONDMP,RENTM,RNSUB,CHNEED,FSCADLTM,FSCCHLDM,FSCHHLDM,VISMINFL,VERDATE
2021,37308,"       3730803",307.7593,12,05,05,07,2,03,1,2,2,6,1,99,99,99,99,99,35.0,1715,1,2,2,6,0,0,25010,0,0,0,0,0,0,0,0,1050,1050,24000,1300,375,870,0,0,375,2950,1940,0,02,24000,0,0,225,1650,0,0,0,0,0,0,0,225,1070,0,0,0,0,26950,0,24000,0,"       37308A",3,23,2,1,3,13,07,02,0,0,121040,0,0,0,0,0,0,0,1500,6850,1050,139000,1300,1975,11610,0,0,375,4450,22410,0,100349,139000,0,0,225,1650,0,0,0,0,0,0,0,225,10800,9000,0,0,0,143450,1400,139000,0,"       37308A01",3,05,2,1,3,13,07,02,0,0,121040,0,0,0,0,0,0,0,1500,6850,1050,139000,1300,1975,11610,0,0,375,4450,22410,0,139000,0,0,225,1650,0,0,0,0,0,0,0,225,10800,9000,0,0,0,143450,1400,139000,0,4,3,2,999.6,2,999.6,2,999.6,2,999.6,2,1,1,3,1,1,800,99999996,99999996,6,2,0,6,0,2," 28NOV2023"
2021,37308,"       3730804",307.7593,12,05,05,07,1,04,1,2,2,6,1,11,01,52,0,0,30.0,1560,1,2,2,6,0,0,21005,0,0,0,0,0,0,0,0,925,1450,20000,0,325,570,0,0,500,2175,1170,0,02,20000,0,0,225,2175,0,0,0,0,0,0,0,225,600,0,0,0,0,22175,0,20000,0,"       37308B",1,13,1,2,1,07,07,02,0,0,21005,0,0,0,0,0,0,0,0,925,1450,20000,0,325,570,0,0,500,2175,1170,0,19527,20000,0,0,225,2175,0,0,0,0,0,0,0,225,600,0,0,0,0,22175,0,20000,0,"       37308B01",1,01,1,2,1,07,07,02,0,0,21005,0,0,0,0,0,0,0,0,925,1450,20000,0,325,570,0,0,500,2175,1170,0,20000,0,0,225,2175,0,0,0,0,0,0,0,225,600,0,0,0,0,22175,0,20000,0,4,3,2,999.6,2,3.2,1,999.6,2,13.4,1,1,1,3,1,1,800,99999996,99999996,6,2,0,6,0,2," 28NOV2023"
2021,37312,"       3731201",223.0363,12,06,06,14,2,01,1,4,6,6,2,30,03,0,0,52,999.6,9996,6,6,2,6,0,0,17240,0,0,0,0,0,0,0,6500,0,0,0,0,0,2350,0,0,0,13500,5010,0,04,8750,7000,7000,0,0,0,0,26250,0,17500,8750,0,0,2660,0,0,0,0,22250,0,0,0,"       37312A",2,24,2,1,2,15,14,06,0,0,65740,0,0,0,0,0,0,0,15750,0,0,0,0,0,3120,0,0,0,30000,7010,0,61540,42750,14250,14250,0,0,0,0,42750,17500,17500,42750,0,0,3890,0,0,0,0,72750,0,0,0,"       37312A01",2,03,2,1,2,15,14,06,0,0,65740,0,0,0,0,0,0,0,15750,0,0,0,0,0,3120,0,0,0,30000,7010,0,42750,14250,14250,0,0,0,0,42750,17500,17500,42750,0,0,3890,0,0,0,0,72750,0,0,0,2,2,2,999.6,2,999.6,2,999.6,2,999.6,2,3,2,3,1,6,99999996,99999996,1500,2,2,0,6,0,2," 28NOV2023"
2021,37312,"       3731202",223.0363,12,06,06,15,1,01,1,4,6,6,2,30,96,96,96,96,999.6,9996,6,6,2,6,0,0,48500,0,0,0,0,0,0,0,9250,0,0,0,0,0,770,0,0,0,16500,2000,0,06,34000,7250,7250,0,0,0,0,16500,17500,0,34000,0,0,1230,0,0,0,0,50500,0,0,0,"       37312A",2,24,1,1,1,15,14,06,0,0,65740,0,0,0,0,0,0,0,15750,0,0,0,0,0,3120,0,0,0,30000,7010,0,61540,42750,14250,14250,0,0,0,0,42750,17500,17500,42750,0,0,3890,0,0,0,0,72750,0,0,0,"       37312A01",2,03,1,1,1,15,14,06,0,0,65740,0,0,0,0,0,0,0,15750,0,0,0,0,0,3120,0,0,0,30000,7010,0,42750,14250,14250,0,0,0,0,42750,17500,17500,42750,0,0,3890,0,0,0,0,72750,0,0,0,2,2,1,999.6,2,999.6,2,999.6,2,999.6,2,3,2,3,1,6,99999996,99999996,1500,2,2,0,6,0,2," 28NOV2023"
2021,37327,"       3732701",297.4232,12,06,06,13,1,03,1,2,6,6,1,11,01,52,0,0,42.0,2184,1,2,2,6,0,0,134940,0,0,0,0,0,0,0,13000,3200,0,87500,0,950,14580,0,0,0,13000,27860,4800,02,149800,0,0,0,0,57500,57500,0,0,0,0,0,0,13280,0,15000,0,0,162800,0,87500,0,"       37327A",1,13,1,1,1,13,13,02,0,0,134940,0,0,0,0,0,0,0,13000,3200,0,87500,0,950,14580,0,0,0,13000,27860,4800,132847,149800,0,0,0,0,57500,57500,0,0,0,0,0,0,13280,0,15000,0,0,162800,0,87500,0,"       37327A01",1,01,1,1,1,13,13,02,0,0,134940,0,0,0,0,0,0,0,13000,3200,0,87500,0,950,14580,0,0,0,13000,27860,4800,149800,0,0,0,0,57500,57500,0,0,0,0,0,0,13280,0,15000,0,0,162800,0,87500,0,2,3,1,999.6,2,999.6,2,999.6,2,999.6,2,1,1,3,1,1,600,99999996,99999996,6,2,0,6,0,2," 28NOV2023"
2021,37327,"       3732702",297.4232,12,06,06,14,2,03,1,2,6,6,2,30,03,0,0,52,999.6,9996,6,6,2,6,29000,0,38825,0,0,0,0,0,0,0,5000,0,0,0,0,0,1680,0,0,0,12875,3050,0,07,29000,7750,7750,125,125,29000,0,0,0,0,0,0,125,1370,0,0,0,0,41875,0,0,0,"       37327B",1,12,1,2,1,14,14,07,29000,0,38825,0,0,0,0,0,0,0,5000,0,0,0,0,0,1680,0,0,0,12875,3050,0,41732,29000,7750,7750,125,125,29000,0,0,0,0,0,0,125,1370,0,0,0,0,41875,0,0,0,"       37327B01",1,01,1,2,1,14,14,07,29000,0,38825,0,0,0,0,0,0,0,5000,0,0,0,0,0,1680,0,0,0,12875,3050,0,29000,7750,7750,125,125,29000,0,0,0,0,0,0,125,1370,0,0,0,0,41875,0,0,0,2,3,2,999.6,2,999.6,2,999.6,2,999.6,2,1,1,3,1,1,600,99999996,99999996,6,2,0,6,0,2," 28NOV2023"
2021,37328,"       3732801",134.3929,12,01,04,13,1,03,1,3,6,6,2,30,02,0,52,0,999.6,9996,6,6,9,9,0,0,26630,0,0,0,0,0,0,0,0,0,0,1550,0,0,1890,0,0,425,500,3420,0,06,29550,0,0,75,500,0,0,28000,0,0,28000,0,75,1530,0,0,0,0,30050,0,1550,0,"       37328A",1,13,1,1,1,13,13,06,0,0,26630,0,0,0,0,0,0,0,0,0,0,1550,0,0,1890,0,0,425,500,3420,0,26522,29550,0,0,75,500,0,0,28000,0,0,28000,0,75,1530,0,0,0,0,30050,0,1550,0,"       37328A01",1,01,1,1,1,13,13,06,0,0,26630,0,0,0,0,0,0,0,0,0,0,1550,0,0,1890,0,0,425,500,3420,0,29550,0,0,75,500,0,0,28000,0,0,28000,0,75,1530,0,0,0,0,30050,0,1550,0,1,1,1,999.6,2,999.6,2,2.6,1,999.6,2,1,1,1,1,1,400,99999996,99999996,6,1,0,6,0,2," 28NOV2023"
2021,37340,"       3734001",135.0392,12,01,04,15,2,03,2,1,6,6,2,30,96,96,96,96,999.6,9996,6,6,2,6,0,0,22000,0,0,0,0,0,0,0,5750,0,0,0,0,0,0,0,7500,425,22000,0,0,04,0,7500,15500,325,750,0,0,0,0,0,0,0,325,0,0,0,0,0,22000,0,0,0,"       37340A",1,12,1,1,1,15,15,04,0,0,22000,0,0,0,0,0,0,0,5750,0,0,0,0,0,0,0,7500,425,22000,0,0,24001,0,7500,15500,325,750,0,0,0,0,0,0,0,325,0,0,0,0,0,22000,0,0,0,"       37340A01",1,01,1,1,1,15,15,04,0,0,22000,0,0,0,0,0,0,0,5750,0,0,0,0,0,0,0,7500,425,22000,0,0,0,7500,15500,325,750,0,0,0,0,0,0,0,325,0,0,0,0,0,22000,0,0,0,1,1,1,999.6,2,999.6,2,19.6,1,999.6,2,1,1,3,1,2,99999996,99999996,99999996,6,2,3,6,3,2," 28NOV2023"
2021,37393,"       3739301",131.5055,12,05,05,11,1,01,1,3,6,6,1,11,01,52,0,0,48.0,2496,1,2,2,6,0,0,70010,0,125,0,0,0,0,0,0,3200,0,95000,0,925,13460,0,0,0,0,24990,0,02,95000,0,0,0,0,0,0,0,0,0,0,0,0,11530,0,0,0,0,95000,0,95000,0,"       37393A",3,23,1,1,1,11,05,02,0,0,138590,0,125,0,0,0,0,0,0,6750,575,174000,0,2250,19470,0,0,75,900,36310,0,126707,174000,0,0,250,900,0,0,0,0,0,0,0,250,16840,2000,0,0,0,174900,650,174000,0,"       37393A01",3,04,1,1,1,11,05,02,0,0,138590,0,125,0,0,0,0,0,0,6750,575,174000,0,2250,19470,0,0,75,900,36310,0,174000,0,0,250,900,0,0,0,0,0,0,0,250,16840,2000,0,0,0,174900,650,174000,0,3,2,1,999.6,2,999.6,2,999.6,2,999.6,2,1,1,3,1,1,1300,99999996,99999996,6,2,0,6,0,2," 28NOV2023"
2021,37393,"       3739302",131.5055,12,05,05,11,2,01,1,4,6,6,1,11,01,52,0,0,48.0,2496,1,2,2,6,0,0,41760,0,0,0,0,0,0,0,0,2200,0,50000,0,800,4270,0,0,0,0,8240,0,02,50000,0,0,0,0,0,0,0,0,0,0,0,0,3970,2000,0,0,0,50000,650,50000,0,"       37393A",3,23,2,1,2,11,05,02,0,0,138590,0,125,0,0,0,0,0,0,6750,575,174000,0,2250,19470,0,0,75,900,36310,0,126707,174000,0,0,250,900,0,0,0,0,0,0,0,250,16840,2000,0,0,0,174900,650,174000,0,"       37393A01",3,04,2,1,2,11,05,02,0,0,138590,0,125,0,0,0,0,0,0,6750,575,174000,0,2250,19470,0,0,75,900,36310,0,174000,0,0,250,900,0,0,0,0,0,0,0,250,16840,2000,0,0,0,174900,650,174000,0,3,2,2,999.6,2,999.6,2,999.6,2,999.6,2,1,1,3,1,1,1300,99999996,99999996,6,2,0,6,0,2," 28NOV2023"
