YEAR,PUMFID,PERSONID,FWEIGHT,PROV,USZGAP,MBMREGP,AGEGP,SEX,MARST,CMPHI,HLEV2G,STUDTFP,FLLPRTP,FWORKED,SCSUM,ALFST,WKSEM,WKSUEM,WKSNLF,USHRWK,ALHRWK,FPDWK,FSEMP,FUNFW,IMMSTP,YRIMMGP,ALIMO,ALIP,ATINC,CAPGN,CCAR,CHFED,CHPRV,CHTXB,CPQPP,CQPC,EARNG,EIPR,FDITX,FMSE,GI,GSTXC,GTR,INCTX,INVA,MAJRI,MTINC,NFMSE,OAS,OASGI,OGOVTR,OTHINC,OTTXM,PEN,PENGIV,PENREC,PHPR,PRPEN,PVITX,PVTXC,RPPC,RSPWI,SAPIS,SEMP,TTINC,UCCB,UDPD,UIBEN,WGSAL,WKRCP,EFID,EFSIZE,EFTYP,EFMJIE,EFMJIEH,EFRMJIG,EFAGOFMP,EFAGYFMP,EFMJSI,EFALIMO,EFALIP,EFATINC,EFCAPGN,EFCCAR,EFCHFED,EFCHPRV,EFCHTXB,EFCPQPP,EFCQPC,EFEARNG,EFEIPR,EFFDITX,EFFMSE,EFGI,EFGSTXC,EFGTR,EFINCTX,EFINVA,EFMBSCIN,EFMTINC,EFNFMSE,EFOAS,EFOASGI,EFOGOVTR,EFOTHINC,EFOTTXM,EFPEN,EFPENGIV,EFPENREC,EFPHPR,EFPRPEN,EFPVITX,EFPVTXC,EFRPPC,EFRSPWI,EFSAPIS,EFSEMP,EFTTINC,EFUCCB,EFUDPD,EFUIBEN,EFWGSAL,EFWKRCP,CFID,CFSIZE,CFCOMP,CFMJIE,CFMJIEH,CFRMJIG,CFAGOFMP,CFAGYFMP,CFMJSI,CFALIMO,CFALIP,CFATINC,CFCAPGN,CFCCAR,CFCHFED,CFCHPRV,CFCHTXB,CFCPQPP,CFCQPC,CFEARNG,CFEIPR,CFFDITX,CFFMSE,CFGI,CFGSTXC,CFGTR,CFINCTX,CFINVA,CFMTINC,CFNFMSE,CFOAS,CFOASGI,CFOGOVTR,CFOTHINC,CFOTTXM,CFPEN,CFPENGIV,CFPENREC,CFPHPR,CFPRPEN,CFPVITX,CFPVTXC,CFRPPC,CFRSPWI,CFSAPIS,CFSEMP,CFTTINC,CFUCCB,CFUDPD,CFUIBEN,CFWGSAL,CFWKRCP,HHSIZE,HHCOMP,HHMJIE,LICODA,LICOFA,LICODB,LICOFB,LIMSDA,LIMSFA,MBSCD,MBSCF,DWLTYP,DWTENR,REPA,SUIT,MORTG,MORTGM,CONDMP,RENTM,CHNEED,VERDATE
2016,16741,"       1674101",322.9144,12,07,07,14,2,01,1,4,6,6,2,30,03,0,0,52,999.6,9996,6,6,6,6,6,0,0,72280,0,0,0,0,0,12000,0,0,0,6690,0,0,0,12000,12270,50,06,72550,0,0,0,0,0,0,32500,40000,0,0,72500,5580,0,0,0,0,0,84550,0,0,0,0,0,"       16741A",2,21,1,1,1,15,14,06,0,0,78480,0,0,0,0,0,22000,0,0,0,12990,0,0,0,28750,23870,1100,77060,73600,0,6750,6750,0,0,0,62500,40000,30000,0,72500,10880,0,0,0,0,0,102350,0,0,0,0,0,"       16741A01",2,03,1,1,1,15,14,06,0,0,78480,0,0,0,0,0,22000,0,0,0,12990,0,0,0,28750,23870,1100,73600,0,6750,6750,0,0,0,62500,40000,30000,0,72500,10880,0,0,0,0,0,102350,0,0,0,0,0,2,2,1,999.6,2,999.6,2,999.6,2,999.6,2,1,1,3,1,2,99999996,99999996,99999996,2," 14JUN2018"
2016,16741,"       1674102",322.9144,12,07,07,15,1,01,1,3,6,6,2,30,03,0,0,52,999.6,9996,6,6,6,6,6,0,0,6200,0,0,0,0,0,10000,0,0,0,6300,0,0,0,16750,11600,1050,04,1050,0,6750,6750,0,0,0,30000,0,30000,0,0,5300,0,0,0,0,0,17800,0,0,0,0,0,"       16741A",2,21,2,1,2,15,14,06,0,0,78480,0,0,0,0,0,22000,0,0,0,12990,0,0,0,28750,23870,1100,77060,73600,0,6750,6750,0,0,0,62500,40000,30000,0,72500,10880,0,0,0,0,0,102350,0,0,0,0,0,"       16741A01",2,03,2,1,2,15,14,06,0,0,78480,0,0,0,0,0,22000,0,0,0,12990,0,0,0,28750,23870,1100,73600,0,6750,6750,0,0,0,62500,40000,30000,0,72500,10880,0,0,0,0,0,102350,0,0,0,0,0,2,2,2,999.6,2,999.6,2,999.6,2,999.6,2,1,1,3,1,2,99999996,99999996,99999996,2," 14JUN2018"
2016,16743,"       1674301",209.8238,12,01,05,15,2,01,1,4,6,6,2,30,03,0,0,52,999.6,9996,6,6,6,6,6,0,0,19040,0,0,0,0,0,10500,0,600,0,460,0,0,0,17500,460,0,04,2000,600,7000,7000,0,0,0,7150,0,5750,0,1400,0,0,0,0,0,600,19500,0,0,0,0,0,"       16743A",2,24,2,1,2,15,15,02,0,0,85930,0,0,0,0,0,18500,2100,57250,825,8860,0,0,0,32250,16470,0,76630,70150,2250,13750,13750,0,0,0,12900,5750,5750,0,12900,7610,0,0,0,0,2250,102400,0,0,0,55000,0,"       16743A01",2,03,2,1,2,15,15,02,0,0,85930,0,0,0,0,0,18500,2100,57250,825,8860,0,0,0,32250,16470,0,70150,2250,13750,13750,0,0,0,12900,5750,5750,0,12900,7610,0,0,0,0,2250,102400,0,0,0,55000,0,2,2,2,999.6,2,999.6,2,999.6,2,999.6,2,9,1,3,1,1,200,99999996,99999996,6," 14JUN2018"
2016,16743,"       1674302",209.8238,12,01,05,15,1,01,1,3,6,6,1,11,01,52,0,0,50.0,2600,1,2,2,6,6,0,0,66890,0,0,0,0,0,8000,2100,56650,825,8400,0,0,0,14750,16010,0,02,68150,1650,6750,6750,0,0,0,5750,5750,0,0,11500,7610,0,0,0,0,1650,82900,0,0,0,55000,0,"       16743A",2,24,1,1,1,15,15,02,0,0,85930,0,0,0,0,0,18500,2100,57250,825,8860,0,0,0,32250,16470,0,76630,70150,2250,13750,13750,0,0,0,12900,5750,5750,0,12900,7610,0,0,0,0,2250,102400,0,0,0,55000,0,"       16743A01",2,03,1,1,1,15,15,02,0,0,85930,0,0,0,0,0,18500,2100,57250,825,8860,0,0,0,32250,16470,0,70150,2250,13750,13750,0,0,0,12900,5750,5750,0,12900,7610,0,0,0,0,2250,102400,0,0,0,55000,0,2,2,1,999.6,2,999.6,2,999.6,2,999.6,2,9,1,3,1,1,200,99999996,99999996,6," 14JUN2018"
2016,16753,"       1675301",275.7517,12,01,05,12,1,03,1,4,6,6,1,11,01,52,0,0,45.0,2340,1,2,2,6,6,0,0,70390,0,0,0,0,0,0,2700,90000,975,11390,0,0,0,0,20860,1250,02,91250,0,0,0,0,0,0,0,0,0,0,0,9470,0,0,0,0,0,91250,0,0,0,90000,0,"       16753A",2,43,1,1,1,12,06,02,0,0,83890,0,0,0,0,0,0,3000,98500,1150,11390,0,0,425,700,20860,1250,79315,104050,0,0,0,0,4300,4300,0,0,0,0,0,9470,275,0,0,0,0,104750,0,0,0,98500,0,"       16753A01",2,08,1,1,1,12,06,02,0,0,83890,0,0,0,0,0,0,3000,98500,1150,11390,0,0,425,700,20860,1250,104050,0,0,0,0,4300,4300,0,0,0,0,0,9470,275,0,0,0,0,104750,0,0,0,98500,0,2,2,1,999.6,2,999.6,2,999.6,2,999.6,2,1,1,3,1,1,1300,99999996,99999996,6," 14JUN2018"
2016,16753,"       1675302",275.7517,12,01,05,06,2,06,1,2,1,1,1,21,05,16,0,36,35.0,560,1,2,2,6,6,0,0,13500,0,0,0,0,0,0,300,8500,175,0,0,0,425,700,0,0,02,12800,0,0,0,0,4300,4300,0,0,0,0,0,0,275,0,0,0,0,13500,0,0,0,8500,0,"       16753A",2,43,2,1,3,12,06,02,0,0,83890,0,0,0,0,0,0,3000,98500,1150,11390,0,0,425,700,20860,1250,79315,104050,0,0,0,0,4300,4300,0,0,0,0,0,9470,275,0,0,0,0,104750,0,0,0,98500,0,"       16753A01",2,08,2,1,3,12,06,02,0,0,83890,0,0,0,0,0,0,3000,98500,1150,11390,0,0,425,700,20860,1250,104050,0,0,0,0,4300,4300,0,0,0,0,0,9470,275,0,0,0,0,104750,0,0,0,98500,0,2,2,2,999.6,2,999.6,2,999.6,2,999.6,2,1,1,3,1,1,1300,99999996,99999996,6," 14JUN2018"
2016,16758,"       1675801",196.7746,12,01,05,15,1,01,2,1,6,6,1,22,05,32,0,20,16.0,512,2,1,2,6,6,0,0,10950,0,0,0,0,0,3700,0,-7750,0,0,-7750,6250,0,16950,0,1750,04,-6000,0,7000,13250,0,0,0,0,0,0,0,0,0,0,0,0,0,-7750,10950,0,0,0,0,0,"       16758A",2,24,2,1,2,15,15,04,0,0,29775,0,0,0,0,0,5400,0,-7750,0,0,-7750,16750,525,35775,0,1750,31238,-6000,0,8200,24950,0,0,0,0,0,0,0,0,0,200,0,0,4700,-7750,29775,0,0,0,0,0,"       16758A01",2,03,2,1,2,15,15,04,0,0,29775,0,0,0,0,0,5400,0,-7750,0,0,-7750,16750,525,35775,0,1750,-6000,0,8200,24950,0,0,0,0,0,0,0,0,0,200,0,0,4700,-7750,29775,0,0,0,0,0,2,2,2,999.6,2,999.6,2,7.1,1,999.6,2,1,1,3,1,2,99999996,99999996,99999996,6," 14JUN2018"
2016,16758,"       1675802",196.7746,12,01,05,15,2,01,1,2,6,6,2,30,03,0,0,52,999.6,9996,6,6,6,6,6,0,0,18825,0,0,0,0,0,1700,0,0,0,0,0,10500,525,18825,0,0,04,0,0,1200,11700,0,0,0,0,0,0,0,0,0,200,0,0,4700,0,18825,0,0,0,0,0,"       16758A",2,24,1,1,1,15,15,04,0,0,29775,0,0,0,0,0,5400,0,-7750,0,0,-7750,16750,525,35775,0,1750,31238,-6000,0,8200,24950,0,0,0,0,0,0,0,0,0,200,0,0,4700,-7750,29775,0,0,0,0,0,"       16758A01",2,03,1,1,1,15,15,04,0,0,29775,0,0,0,0,0,5400,0,-7750,0,0,-7750,16750,525,35775,0,1750,-6000,0,8200,24950,0,0,0,0,0,0,0,0,0,200,0,0,4700,-7750,29775,0,0,0,0,0,2,2,1,999.6,2,999.6,2,7.1,1,999.6,2,1,1,3,1,2,99999996,99999996,99999996,6," 14JUN2018"
2016,16764,"       1676401",330.6603,12,07,07,06,2,06,1,4,1,1,1,22,05,20,0,32,25.0,500,1,2,2,6,6,0,0,11150,0,0,0,0,0,2300,25,5750,75,0,0,0,275,2900,0,0,02,8250,0,0,0,0,2500,2500,0,0,0,0,0,0,325,0,0,0,0,11150,0,0,0,5750,0,"       16764A",3,31,2,1,3,11,04,04,0,0,34610,0,0,2800,450,3250,14450,50,11500,200,0,0,0,725,19500,90,0,33760,15200,0,0,0,0,3700,3700,0,0,0,0,0,90,575,0,0,0,0,34700,500,0,0,11500,0,"       16764A01",3,06,2,1,3,11,04,04,0,0,34610,0,0,2800,450,3250,14450,50,11500,200,0,0,0,725,19500,90,0,15200,0,0,0,0,3700,3700,0,0,0,0,0,90,575,0,0,0,0,34700,500,0,0,11500,0,3,2,2,999.6,2,999.6,2,11.8,1,999.6,2,1,1,3,1,1,800,99999996,99999996,1," 14JUN2018"
2016,16764,"       1676402",330.6603,12,07,07,04,2,06,1,3,1,1,1,22,05,16,0,36,14.0,224,1,2,2,6,6,0,0,9850,0,0,0,0,0,2900,25,5750,125,0,0,0,0,2900,0,0,02,6950,0,0,0,0,1200,1200,0,0,0,0,0,0,0,0,0,0,0,9850,0,0,0,5750,0,"       16764A",3,31,2,1,3,11,04,04,0,0,34610,0,0,2800,450,3250,14450,50,11500,200,0,0,0,725,19500,90,0,33760,15200,0,0,0,0,3700,3700,0,0,0,0,0,90,575,0,0,0,0,34700,500,0,0,11500,0,"       16764A01",3,06,2,1,3,11,04,04,0,0,34610,0,0,2800,450,3250,14450,50,11500,200,0,0,0,725,19500,90,0,15200,0,0,0,0,3700,3700,0,0,0,0,0,90,575,0,0,0,0,34700,500,0,0,11500,0,3,2,2,999.6,2,999.6,2,11.8,1,999.6,2,1,1,3,1,1,800,99999996,99999996,1," 14JUN2018"
